Item Name,Qty,Price (total),Item link,Notes
Seeed Studio XIAO RP2040,1,$6.6 + $1.05*,https://robocraze.com/products/seeed-studio-xiao-rp2040-development-board?variant=47742255562976,dev board + *shipping
Active split buzzer-5V (12x9.5mm),3,$0.57 + $1.05*,https://robu.in/product/ymd12095g5v-cldz-electromagnetic-active-split-buzzer-5v12x9-5mm/,"*shipping includes LEDs, resistors and the buzzer"
330 Ohm 1/8W Through Hole Resistor,60,$0.11,https://robu.in/product/330-ohm-1-8w-through-hole-resistor-pack-of-5000/,
"Resistor, 100 ohm",20,$0.20,https://robu.in/product/mp006698-multicomp-pro-through-hole-resistor-100-ohm-125-mw-%c2%b1-2-axial-leaded-200-v/,
5mm Red DIP LED,10,$0.13,https://robu.in/product/5mm-red-dip-led-pack-of-50/,
5mm Green DIP LED,10,$0.14,https://robu.in/product/5mm-green-dip-led-pack-of-50/,
5mm DIP LED Yellow,10,$0.11,https://robu.in/product/5mm-dip-led-yellow-50-pcs/,
PCB,5,$10.60,https://www.lioncircuits.com/quote?layers=2&units=5&dimensionX=50&dimensionY=40,"cheapest manufacturing in india, shipping from china would cost a ton"
Blank DSA Keycaps (1u),1,$1.05 + $1.05,https://meckeys.com/shop/accessories/keyboard-accessories/keycaps/blank/blank-dsa-keycaps-1u/?attribute_pa_variations=off-white,*shipping includes switches + keycaps
Gateron Optical Switch Tester (5pcs),1,$2.10,https://meckeys.com/shop/accessories/keyboard-accessories/key-switches/gateron-optical-switch-tester-5pcs/,
,,,,
,,,,
Total Price (USD):,$24.76  USD (including any shipping charges),,,
